,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274
0,12305,9670,9493,9876,2092,4254,7826,8855,14691,14828,3866,2824,3750,3140,3994,3632,5450,4532,4687,4587,5617,5945,13270,13836,13395,16346,10046,6548,12803,13377,9022,13530,6728,7336,14371,13152,5109,5100,19250,19076,2416,3978,13986,15257,978,1057,765,864,18697,16696,4223,2751,17834,17385,5451,6200,8442,7306,10619,10350,2750,3361,371,584,1742,1901,15144,14195,8904,9763,6888,7712,1802,2001,3878,3544,3572,3567,4200,4351,1741,1827,5824,5771,600,697,292,291,619,816,322,336,364,354,59517,59603,2106,2201,2410,2583,1966,1706,950,1053,3848,4014,756,656,855,895,806,1032,241,538,1639,1839,13478,14047,17916,17777,7250,5657,2831,3092,4029,4342,6494,6953,343,371,2367,2556,3288,3228,3056,3393,3040,3221,2998,3659,1665,1639,1456,1336,614,855,2098,2258,10064,6381,3898,4087,299,125,8957,9783,391,496,1574,1405,106,108,4822,2966,2340,201,1110,6369,3980,3073,261,1180,2001,899,1025,575,697,8976,8888,7629,9401,109,250,5079,6186,2827,3323,2057,2428,2150,2228,3673,1976,2328,1788,1945,1864,1929,2437,12442,12502,14216,15554,9470,8011,5186,4286,3372,3657,2124,2395,10067,8856,1175,1159,9106,10809,1164,1644,5550,5369,4411,5160,3871,4416,12282,12968,1788,2108,6086,4678,7362,6617,60,0,37,102,224,87,2177,1242,3432,3147,9227,9101,3400,3066,459,517,23631,18454,2920,2887,2767,2581,4079,3470,215,143,11539,10291,4590,4242,2192,2514,1827,1475,385,9,340,13,201,255,2519,0
1,9364,9456,11038,9008,2525,3785,9857,9291,15584,17649,3156,2843,3659,2757,3987,3796,4636,4748,4685,4230,5754,5585,12458,12869,13325,16448,8565,7294,9953,8246,7934,14075,8169,7373,14429,15053,5961,6158,15863,14033,2344,2136,11971,12801,902,1310,934,851,17238,15288,2280,2491,17113,17935,5125,5689,6497,6149,7925,7856,2020,2463,380,596,1556,1846,12358,11446,8034,9841,6555,7116,1851,2041,4214,4096,3472,3660,4040,3891,1665,1778,6793,6779,644,714,327,287,653,735,315,363,291,292,60098,61478,1774,1917,2713,2607,1848,1871,1022,1062,3629,3787,777,781,909,946,987,1224,245,595,1771,1862,13914,14386,17951,16288,6344,5745,2910,3040,4334,4019,7051,7121,236,203,2328,2381,3094,2976,3119,3261,2864,2537,2962,2824,1716,1848,1584,1495,698,762,1837,1950,9440,5603,3780,4093,301,229,8123,8957,442,528,1507,1329,108,101,3212,1911,1060,187,966,3240,1713,1178,218,1041,2140,732,774,449,507,7462,8093,9436,7942,122,201,7334,6654,3263,4353,2055,2254,2778,2249,3418,2574,1971,2066,2300,1843,1788,2690,10936,9749,12783,15000,8482,8034,4472,3317,2156,3258,2321,2140,9484,10342,1468,1481,9020,8311,980,1097,4606,4267,4200,4469,2641,4026,11126,12933,1792,2834,4288,3852,5801,5655,4,0,83,81,199,108,1581,862,2982,3228,10034,9749,3615,3588,521,521,25543,19493,3196,3439,2692,3212,3892,3841,496,155,11808,11924,3678,3641,1969,2495,1744,1762,410,6,431,16,166,117,2321,0
2,12349,10002,10009,10551,2393,4065,8886,10263,14132,14773,3421,2804,4975,3310,3391,2846,5877,5522,5759,5585,6858,7049,12862,12397,13427,16556,8881,8123,10755,11252,9400,14334,8501,7390,15654,12822,6436,5886,21182,19648,3209,2692,12991,14859,1009,1215,825,816,19859,18718,2818,2266,19941,16874,5631,5884,6271,6436,9846,10895,2625,2941,317,660,2154,1922,12344,12184,9632,11642,7100,7652,1920,2430,4353,4588,4792,5031,5068,4669,1632,1530,6350,6576,670,772,396,371,730,916,241,224,327,319,65075,66193,1976,2091,2474,2519,2338,2224,920,927,4091,4161,679,718,765,765,721,987,236,545,1702,2071,13864,15139,20142,18472,9020,6536,2831,3375,5404,5362,7283,6663,698,486,2660,2634,2976,2887,3755,3586,3201,3001,3110,2901,1568,1479,1510,1470,672,900,2178,2238,11273,6916,4458,5140,264,148,8735,9494,345,521,1405,1336,129,99,12186,12434,9851,719,2377,11243,9598,6079,315,2215,5355,1980,1470,1131,939,8726,10089,8480,9380,97,218,5154,6912,3131,3444,1635,1925,3511,2224,3397,2038,2221,1906,2201,2119,2344,3182,11270,10556,14088,16967,8886,9275,4068,4258,3606,2836,2488,2296,10386,9387,1697,1551,9517,9273,1706,1366,4972,5306,5212,5249,2973,3597,11843,11423,2145,2657,3544,3741,7294,7870,60,0,71,90,125,69,1419,799,3662,3833,8542,7519,3762,3193,621,610,24079,17041,3112,3405,3085,3550,4840,4497,333,271,12917,13889,3620,3708,1962,2446,2084,2289,414,0,407,0,503,343,4910,0
3,10347,8601,10127,8696,2472,3644,9509,9558,15221,16070,3054,2451,3980,2486,3277,2968,4460,4377,4697,4511,5824,5473,11834,11382,13360,16350,8948,7185,10249,8167,7392,10904,5840,5778,10331,11117,5497,4889,16510,14641,2454,2442,12576,12991,978,1062,684,672,15995,14938,2713,2660,15359,18603,3959,5940,6174,5747,9477,8333,2222,2906,296,475,1440,1438,12560,10989,8211,9211,6067,6228,1660,1908,3611,3604,3186,3449,4587,4704,1755,1793,5835,6158,584,653,268,243,577,658,284,324,375,352,52081,53837,1853,1936,2261,2178,1700,1405,793,895,3182,3497,697,619,760,800,772,939,233,480,1189,1359,12152,13031,15378,14777,5058,4159,2324,2627,3214,3388,4873,5140,233,264,2475,2553,2968,2860,2739,2838,2873,2824,2693,2913,1442,1709,1356,1247,526,695,1772,1999,8225,5221,3302,3732,231,145,6392,6835,408,440,1303,1217,85,87,2672,2208,1683,333,1046,3695,2769,2029,340,846,2080,872,739,475,493,6826,7185,6787,6511,102,229,5909,6262,3196,3539,1753,1737,2247,1642,2968,2143,1714,1713,1917,1822,1568,2330,10363,8841,12778,14970,8983,7703,3845,2973,2156,2788,1688,1915,6807,7687,1419,1124,7805,8213,1336,862,4217,4321,4571,4423,2853,4351,9951,10802,1593,2667,3163,3136,6339,6849,30,0,50,23,194,83,1869,799,2831,2927,9338,8485,3228,3138,489,494,22896,16081,2725,2799,2363,2446,2984,3024,192,60,10194,10315,3741,3351,1716,2915,1435,1259,306,18,347,36,173,153,2623,0
4,10089,8042,9417,8259,2273,3321,9380,10045,15675,16264,3100,2428,3822,2439,2908,2852,4701,4757,4791,4775,5752,5376,11493,10500,12782,16164,8913,7014,10111,8046,7473,11147,5573,5777,9981,10454,5476,4761,15817,14406,2425,2648,12325,12868,922,1096,770,776,15636,15197,2797,2852,15000,19213,3901,5502,6058,5604,9315,8239,2143,3024,252,465,1379,1326,12383,11170,8340,9231,5928,6192,1458,1683,3581,3484,3224,3270,4675,4609,1709,1864,5652,5696,521,637,238,227,572,633,250,327,352,298,51364,53350,1790,1897,2198,2154,1623,1410,814,862,3295,3274,704,547,653,772,772,881,215,473,1184,1377,11964,12915,15183,14810,4875,4307,2335,2586,3200,3319,4931,4996,222,257,2461,2548,3015,2873,2829,2992,2875,2931,2679,2918,1410,1544,1326,1243,545,705,1822,2027,8688,5381,3173,3771,278,148,6394,7034,470,378,1292,1236,83,83,2771,2447,1857,306,1085,3847,2954,2382,345,858,2085,823,718,450,524,6874,7259,6547,6200,101,176,5974,6462,3446,3782,1751,1883,2386,1586,2864,2192,1779,1755,1880,1776,1533,2275,10104,8514,13110,14847,8848,7791,3845,3286,2119,3084,1721,1997,6743,7397,1440,1096,8016,7995,1331,922,4075,4212,4567,4346,2954,4478,9746,11403,1375,2611,3198,2920,6547,6865,18,0,41,25,166,69,1663,776,2901,2866,9189,8264,3437,3361,449,461,22170,15617,2579,2616,2145,2307,2778,2801,248,74,10591,9767,3762,3569,1781,2878,1227,1168,269,9,322,34,175,150,2570,0
5,12122,8157,9552,7542,1946,3342,6743,7888,12344,14341,2723,2558,3602,3047,3481,3546,4725,4601,4573,4001,5059,5518,10136,9004,9939,11802,8195,5502,9368,8345,6663,11544,6991,5854,11085,11127,5778,6441,15339,15279,2098,1952,12284,14402,1171,1110,1064,1117,16575,15807,3258,2468,15119,12729,3630,4072,5814,4787,9053,8417,2354,2690,595,786,1957,1742,11416,10452,7900,11054,7171,7171,1739,1967,3400,3792,2998,3209,3488,3702,1386,1465,5045,5559,574,698,294,276,642,681,196,231,336,173,52083,55567,1869,2059,2163,2191,1583,1505,1013,1048,3581,3651,572,533,670,788,735,981,176,375,1611,1985,11398,12133,17218,16454,6640,5991,2403,2409,4534,4161,6891,6612,603,456,1957,2038,2853,2873,2959,2955,2637,2760,2774,2507,1154,1300,1169,1110,603,802,1862,1967,8791,6032,3593,4258,199,113,8296,8359,340,371,1308,1082,78,78,7768,8681,6707,748,2430,7977,6821,5183,248,2233,2465,1317,1389,871,767,7542,7659,7141,6912,41,139,4690,6105,2839,4109,1560,2272,2173,2108,3938,2460,1987,1567,1779,1709,1630,2338,10867,9957,12198,13117,9183,7114,3913,4065,2126,3224,2367,1600,8313,8139,1326,1196,8299,9319,1085,1229,4697,5483,3920,4444,3407,4047,10277,9672,1619,2217,3848,3247,6645,5891,0,0,50,85,169,51,1600,714,3145,3474,7469,7171,2391,2365,443,400,17754,11300,1767,2776,3905,3476,5886,4580,285,250,7051,6367,3172,2586,3289,3214,1354,1514,349,0,364,11,663,509,2616,0
6,10778,7487,9763,8120,2391,3156,8325,7984,11388,13544,3920,3936,2982,2918,3013,3087,4669,4996,4302,4135,4718,5165,10818,10467,12312,15431,7276,4842,8935,8717,7153,12444,5995,5506,11609,10328,4784,4295,15582,12996,1764,1540,11862,13356,906,1083,668,704,13907,13592,2648,2502,16069,14719,4216,5455,5406,5052,7833,6986,2050,2669,410,721,1398,1242,11904,11493,8229,9883,5944,6392,1449,1746,3293,3279,2736,2676,3738,3659,1359,1474,5161,5279,535,607,199,180,517,661,261,303,275,201,44644,44492,1728,1800,1967,1987,1270,1252,762,776,2774,2820,589,644,542,635,707,893,215,391,1308,1644,10528,12027,16014,14146,5457,4163,2500,2690,3484,3439,5026,5418,282,189,1989,1987,2766,2906,2614,2857,2773,2519,2442,3136,1372,1491,1263,1152,574,702,1957,2214,8617,4868,3175,3687,183,148,7719,8791,357,329,1285,1196,76,108,4657,3936,1811,310,1067,3975,2945,1379,266,978,1507,790,668,528,468,7647,6401,6983,6237,73,132,5488,5274,2131,3379,2254,3066,2249,1834,2595,2456,1851,1665,1765,1618,1539,2185,9730,8802,13254,14963,7849,6692,3827,3535,2634,2964,1908,1830,8136,8368,1129,888,8155,7767,886,681,4188,4576,3845,4126,2857,3927,9886,10699,1271,2080,3762,3412,5975,5647,23,0,64,87,145,76,1697,700,3036,3019,7450,6896,2372,2233,333,378,21328,13536,2126,2152,1526,1414,2126,2273,269,276,8267,8227,3186,3302,1242,2156,969,784,241,15,303,23,292,166,2129,0
7,9890,7355,9000,7665,2382,3282,7759,7550,10136,10948,3869,4142,2966,3087,2412,3098,4685,4993,4383,3973,4641,4996,10176,9693,12713,14190,6580,4741,7607,7505,5989,11454,6615,5847,10772,9132,4444,4086,15083,12734,1876,1802,10433,11330,871,1008,623,646,13504,12762,2330,2634,16810,14103,4659,5875,5701,5889,8275,7654,2011,2644,368,653,1419,1356,10674,10401,7450,9150,5905,5977,1424,1563,3161,3082,2795,2704,3739,3834,1380,1421,5413,5538,512,605,225,187,505,695,262,254,333,213,42371,42777,1727,1832,2163,2133,1556,1342,695,792,2732,2676,572,572,596,737,656,837,190,389,1263,1350,10542,11730,15872,14079,5367,4087,2604,2729,3651,3629,5096,5165,289,215,2047,2305,2671,2653,2549,2602,2518,2412,2708,3077,1307,1384,1166,1152,609,756,1783,2033,9104,5320,3219,3444,178,94,6763,7763,408,366,1315,1168,76,101,5306,4384,2003,359,1011,4369,3351,1598,224,906,1611,709,700,514,521,7197,6810,7162,6332,95,173,5082,4743,2157,3027,2154,2906,2173,1781,2398,1990,1713,1808,1827,1625,1477,2150,9197,8347,13377,14281,7672,6821,3342,3395,2642,2948,1982,1869,7844,7629,1259,920,7923,7689,839,874,3869,4203,3741,4117,2530,3810,11395,10827,1512,2185,3504,3434,5791,5318,30,0,71,71,189,71,1642,651,2829,2892,7009,6629,2537,2150,408,487,20860,14209,2351,2321,2025,1783,2785,2766,429,361,8584,9602,3653,3785,1732,2637,1289,1087,247,16,303,29,268,190,2143,0
8,10245,7438,8911,7772,2277,3550,7603,7332,10136,11085,3945,3908,3080,2910,2340,3163,4682,4877,4181,3926,4743,5016,10312,9900,12384,14207,6499,4771,7948,7731,6047,10653,6571,5777,10730,9468,4100,4015,14745,12506,1793,1742,10254,11447,792,1020,619,704,13091,12615,2294,2593,15772,12991,4075,5814,5620,5566,7944,7042,1932,2421,342,607,1384,1291,10572,10089,7271,8869,5917,6074,1451,1607,3187,3177,2736,2753,3731,3650,1419,1331,5144,5480,501,549,215,182,494,609,298,299,312,208,41399,42462,1737,1836,2138,2061,1317,1184,735,828,2757,2723,603,586,584,728,767,909,185,375,1335,1519,10431,11755,15782,14072,5221,4126,2477,2614,3467,3585,4989,5168,278,208,1897,1980,2526,2753,2519,2576,2627,2460,2669,2996,1322,1400,1206,1092,535,700,1721,1962,8556,5010,3122,3435,152,104,6859,7628,391,349,1227,1240,73,88,5557,4673,2113,338,1018,4580,3588,1591,245,939,1604,749,691,552,514,7854,6642,7339,6401,134,196,5443,4622,2134,2903,2208,2996,2069,1818,2410,2236,1804,1725,1790,1676,1444,2115,9192,8434,13464,14181,7503,6647,3484,3033,2576,2901,2127,1911,7658,7510,1162,959,7612,7464,871,835,3908,4223,3484,3659,2475,3717,10175,10547,1350,2018,3593,3228,5727,5341,30,0,57,83,196,80,1491,693,2806,3056,6937,6316,2484,2142,407,438,20425,14576,2221,2456,1950,1806,2569,2785,378,370,8644,9883,3428,3869,1561,2479,1340,1075,261,9,262,36,252,166,2113,0
9,11606,9642,10336,9900,2802,4223,9426,9830,14293,15763,4513,3142,3970,3333,3731,3430,5095,5459,4843,4054,6705,6503,11405,11057,13743,16450,8333,7079,9929,9333,7012,13641,7441,6030,12729,13325,4880,4894,15743,14151,1920,2105,11723,12339,897,1185,844,1015,16686,15722,3013,2641,21347,16146,4453,5710,6564,5543,8867,8283,2569,3175,547,675,1834,1639,12711,12507,9793,10744,6849,7318,1808,1985,3514,3667,3108,3075,4270,4230,1583,1628,6225,6540,559,660,336,324,698,834,334,336,352,357,52522,52672,2150,2273,2479,2328,1753,1493,895,1002,3265,3474,658,588,844,872,923,1106,236,533,1242,1465,13979,14887,17427,16774,5954,4537,2646,2632,3694,3451,5856,5787,268,227,2207,2277,2817,2671,3224,3043,3043,2829,3061,2686,1428,1503,1317,1352,605,711,1804,2221,9357,5901,3829,3964,238,190,7299,8779,415,428,1447,1162,81,113,3200,2398,1532,129,681,2430,2001,1496,138,1034,1667,544,732,480,519,7543,8236,8992,8174,157,257,6364,5972,3347,4068,2736,2208,2897,2713,2866,1764,2120,2178,2337,1913,2187,2667,9229,9013,13203,15364,8345,7956,4428,3537,2059,3261,2258,1962,7851,8872,1401,1099,8760,8612,804,1090,4873,4182,3718,4318,3363,4015,13010,11393,1779,2692,3609,3201,5606,5056,108,0,87,101,227,83,1757,1184,3307,3685,9881,9062,3314,3008,542,544,20933,15288,2702,2493,1934,2075,3242,2809,236,394,8582,9642,3319,2969,1512,1964,844,881,435,9,414,13,104,113,2447,0
